Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,69.000000,69.239998,68.010002,68.580002,65.370781,3035733
2021-01-11,67.510002,68.169998,66.610001,67.550003,64.388985,2918312
2021-01-12,68.500000,68.830002,67.300003,67.900002,64.722603,3245940
2021-01-13,68.099998,68.750000,67.610001,68.029999,64.846519,3096228
2021-01-14,68.120003,68.410004,67.720001,68.099998,64.913239,2127852
2021-01-15,67.639999,68.019997,66.110001,67.290001,64.141151,3887322
2021-01-18,66.500000,67.599998,66.500000,67.480003,64.322258,1416376
2021-01-19,67.959999,68.160004,66.459999,66.589996,63.473900,2469283
2021-01-20,67.300003,68.169998,66.989998,67.360001,64.207870,2915428
2021-01-21,67.750000,68.080002,66.989998,67.330002,64.179276,2344062
2021-01-22,66.699997,66.720001,65.820000,66.279999,63.178410,2743203
2021-01-25,66.669998,67.040001,64.050003,64.529999,61.510300,3433739
2021-01-26,64.650002,65.889999,64.360001,65.239998,62.187077,2553918
2021-01-27,64.900002,65.320000,62.599998,63.880001,60.890720,4620843
2021-01-28,63.189999,64.830002,62.560001,64.529999,61.510300,3052869
2021-01-29,63.259998,64.769997,62.970001,63.830002,60.843060,4117710
2021-02-01,64.559998,65.160004,64.139999,64.809998,61.777199,2261944
2021-02-02,65.400002,65.930000,65.059998,65.430000,62.368187,2387910
2021-02-03,66.029999,66.400002,65.580002,66.160004,63.064030,2151723
2021-02-04,66.160004,66.690002,65.940002,66.660004,63.540630,1923366
2021-02-05,66.550003,67.029999,66.089996,66.809998,63.683605,1925658
2021-02-08,67.129997,67.949997,67.059998,67.360001,64.207870,1831771
2021-02-09,67.230003,67.379997,66.589996,67.269997,64.122078,1759355
2021-02-10,67.440002,67.860001,66.519997,67.150002,64.007698,2030589
2021-02-11,67.070000,67.510002,66.739998,67.070000,63.931442,1685691
2021-02-12,66.760002,67.120003,65.879997,66.820000,63.693142,1907928
2021-02-15,67.239998,67.650002,67.000000,67.400002,64.246002,1420021
2021-02-16,67.410004,67.989998,67.099998,67.669998,64.503365,1650603
2021-02-17,67.529999,68.000000,67.010002,67.160004,64.017235,1870842
2021-02-18,66.849998,67.800003,66.750000,67.029999,63.893314,1935256
2021-02-19,67.250000,68.300003,66.949997,68.000000,64.817924,2716801
2021-02-22,67.889999,69.099998,67.169998,68.989998,65.761597,2379945
2021-02-23,69.309998,69.629997,67.370003,68.320000,65.122948,2823287
2021-02-24,68.279999,69.449997,67.949997,69.400002,66.152412,2390063
2021-02-25,69.570000,69.669998,68.120003,68.160004,64.970436,2449919
2021-02-26,66.400002,68.400002,65.800003,67.730003,64.560562,4092028
2021-03-01,68.500000,69.309998,68.320000,69.089996,65.856911,2436474
2021-03-02,68.389999,70.269997,68.300003,70.269997,66.981697,2896907
2021-03-03,70.540001,71.650002,70.500000,71.139999,67.810982,2683854
2021-03-04,70.620003,71.330002,70.349998,71.080002,67.753792,2050789
2021-03-05,70.919998,71.750000,70.500000,70.680000,67.372513,2849252
2021-03-08,71.110001,72.839996,70.830002,72.610001,69.212196,3954915
2021-03-09,72.510002,72.760002,71.599998,71.779999,68.421036,3926631
2021-03-10,71.739998,72.500000,71.500000,72.500000,69.107346,2337554
2021-03-11,72.839996,72.839996,71.760002,72.190002,68.811852,2127475
2021-03-12,72.190002,72.699997,71.839996,72.599998,69.202667,1698564
2021-03-15,72.650002,72.820000,70.059998,70.559998,67.258125,2796301
2021-03-16,70.730003,71.070000,70.050003,70.089996,66.810120,2508692
2021-03-17,70.040001,71.080002,69.879997,70.760002,67.448769,2271045
2021-03-18,70.690002,72.599998,70.620003,72.599998,69.202667,3299421
2021-03-19,72.029999,72.099998,69.809998,69.970001,66.695740,10841459
2021-03-22,69.769997,70.370003,69.010002,69.580002,66.323990,2354167
2021-03-23,69.449997,69.580002,68.690002,69.010002,65.780663,2514031
2021-03-24,68.500000,70.070000,68.220001,69.980003,66.705269,2145959
2021-03-25,69.730003,70.459999,68.769997,70.459999,67.162804,2053009
2021-03-26,70.739998,71.150002,69.580002,69.820000,66.552757,2502328
2021-03-29,69.940002,70.550003,69.449997,70.029999,66.752930,1838146
2021-03-30,70.180000,72.169998,70.000000,71.879997,68.516357,2717233
2021-03-31,71.820000,72.360001,70.720001,70.839996,67.525024,2746094
2021-04-01,71.139999,72.000000,70.550003,71.050003,67.725197,1949783
2021-04-06,72.000000,72.779999,71.910004,72.239998,68.859512,2798324
2021-04-07,72.339996,72.879997,72.050003,72.349998,68.964363,2121302
2021-04-08,72.599998,72.699997,71.080002,71.449997,68.106476,2382104
2021-04-09,71.339996,71.779999,70.959999,71.489998,68.144608,2132963
2021-04-12,71.449997,71.540001,70.730003,71.080002,67.753792,2317818
2021-04-13,71.239998,71.949997,71.050003,71.139999,67.810982,2382118
2021-04-14,71.559998,71.800003,70.160004,70.959999,67.639412,2569122
2021-04-15,71.129997,71.779999,70.980003,71.029999,67.706131,2230495
2021-04-16,71.160004,72.750000,71.120003,72.449997,69.059685,3715978
2021-04-19,72.760002,72.839996,71.650002,71.760002,68.401978,2274169
2021-04-20,71.809998,72.010002,70.720001,70.970001,67.648941,3143901
2021-04-21,71.250000,71.440002,70.470001,71.120003,67.791924,2332073
2021-04-22,71.349998,71.430000,70.139999,70.180000,66.895912,2828598
2021-04-23,70.000000,70.510002,69.360001,70.419998,67.124680,2935653
2021-04-26,70.730003,71.669998,70.570000,71.349998,68.011154,2681368
2021-04-27,71.500000,71.830002,70.580002,71.070000,67.744263,2129934
2021-04-28,71.410004,71.739998,70.889999,70.889999,67.572685,2644806
2021-04-29,71.370003,71.989998,69.440002,70.519997,67.219994,5943738
2021-04-30,67.860001,69.010002,67.080002,67.080002,67.080002,4998659
2021-05-03,67.570000,67.680000,66.370003,67.059998,67.059998,2149415
2021-05-04,67.239998,68.760002,66.660004,66.830002,66.830002,3719890
2021-05-05,67.480003,69.360001,67.459999,69.360001,69.360001,3142265
2021-05-06,69.440002,70.400002,69.230003,70.220001,70.220001,2742399
2021-05-07,70.400002,70.809998,69.849998,70.379997,70.379997,2075253
2021-05-10,70.580002,71.050003,70.300003,70.760002,70.760002,1692668
2021-05-11,69.989998,70.190002,68.599998,69.250000,69.250000,2887043
2021-05-12,69.220001,69.680000,68.150002,69.129997,69.129997,2275025
2021-05-13,68.400002,69.150002,67.230003,68.910004,68.910004,2155802
2021-05-14,69.379997,69.440002,68.800003,69.129997,69.129997,1911095
2021-05-17,69.339996,69.570000,68.709999,69.160004,69.160004,1924817
2021-05-18,69.400002,69.830002,68.690002,68.970001,68.970001,1745554
2021-05-19,68.489998,68.599998,66.489998,67.239998,67.239998,3701760
2021-05-20,67.500000,67.639999,66.379997,67.639999,67.639999,2228094
2021-05-21,67.500000,68.070000,67.199997,67.839996,67.839996,2399997
2021-05-25,68.360001,68.360001,67.070000,67.110001,67.110001,2432344
2021-05-26,67.279999,67.279999,66.269997,66.750000,66.750000,1824138
2021-05-27,66.599998,67.379997,66.370003,66.370003,66.370003,4454352
2021-05-28,66.739998,67.580002,66.720001,67.150002,67.150002,1865685
2021-05-31,67.169998,67.180000,66.510002,66.660004,66.660004,1377815
2021-06-01,66.989998,68.349998,66.989998,67.949997,67.949997,1830039
2021-06-02,68.180000,68.489998,67.769997,68.129997,68.129997,1306769
2021-06-03,68.110001,68.480003,67.290001,68.349998,68.349998,1488623
2021-06-04,68.400002,68.730003,68.269997,68.550003,68.550003,1611244
